Код валюты||Наименование валюты|Краткое наименование стран и территорий
цифровой|буквенный||
008|ALL|ЛЕК|АЛБАНИЯ
012|DZD|АЛЖИРСКИЙ ДИНАР|АЛЖИР
032|ARS|АРГЕНТИНСКОЕ ПЕСО|АРГЕНТИНА
036|AUD|АВСТРАЛИЙСКИЙ ДОЛЛАР|АВСТРАЛИЯ; КИРИБАТИ; КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА; НАУРУ; ОСТРОВ НОРФОЛК; ОСТРОВ РОЖДЕСТВА;  ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД; ТУВАЛУ
044|BSD|БАГАМСКИЙ ДОЛЛАР|БАГАМЫ
048|BHD|БАХРЕЙНСКИЙ ДИНАР|БАХРЕЙН
050|BDT|ТАКА|БАНГЛАДЕШ
051|AMD|АРМЯНСКИЙ ДРАМ|АРМЕНИЯ
052|BBD|БАРБАДОССКИЙ ДОЛЛАР|БАРБАДОС
060|BMD|БЕРМУДСКИЙ ДОЛЛАР|БЕРМУДЫ
064|BTN|НГУЛТРУМ|БУТАН
068|BOB|БОЛИВИАНО|БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО
072|BWP|ПУЛА|БОТСВАНА
084|BZD|БЕЛИЗСКИЙ ДОЛЛАР|БЕЛИЗ
090|SBD|ДОЛЛАР СОЛОМОНОВЫХ ОСТРОВОВ|СОЛОМОНОВЫ ОСТРОВА
096|BND|БРУНЕЙСКИЙ ДОЛЛАР|БРУНЕЙ-ДАРУССАЛАМ
104|MMK|КЬЯТ|МЬЯНМА
108|BIF|БУРУНДИЙСКИЙ ФРАНК|БУРУНДИ
116|KHR|РИЕЛЬ|КАМБОДЖА
124|CAD|КАНАДСКИЙ ДОЛЛАР|КАНАДА
132|CVE|ЭСКУДО КАБО-ВЕРДЕ|КАБО-ВЕРДЕ
136|KYD|ДОЛЛАР ОСТРОВОВ КАЙМАН|ОСТРОВА КАЙМАН
144|LKR|ШРИ-ЛАНКИЙСКАЯ РУПИЯ|ШРИ-ЛАНКА
152|CLP|ЧИЛИЙСКОЕ ПЕСО|ЧИЛИ
