frontend.views.order.guides.can_manage|Вы можете управлять шаблоном в данном заказе|Voi puteți administra șablonul în această comandă
frontend.views.client.suppliers.vendors_list|Список поставщиков|Lista furnizorilor
frontend.views.client.suppliers.phone|Телефон|Telefon
frontend.views.client.suppliers.add_goods|Добавить товары|Adaugă bunuri
frontend.views.client.suppliers.need_apply|Ожидает<br>вашего подтверждения|Așteaptă<br>confirmarea dumneavoatră
frontend.views.client.suppliers.supplier_apply|Сотрудничать!|Colaborează!
frontend.views.order.final_date|Дата завершения|Data de încheiere
common.models.done|Завершен|Terminat
frontend.views.request.of_two|из|din
frontend.views.request.created_three|Создан:|Creat:
frontend.views.vendor.client|Клиент будет удален из Вашего списка клиентов|Clientul va fi șters din lista clienților dumneavoastră
frontend.views.vendor.empl_two|Сотрудник|Angajat
frontend.views.vendor.complete|Завершен|Terminat
frontend.views.vendor.on|Вкл|Pornește
frontend.views.vendor.created_at|Создан:|Creat:
frontend.views.vendor.name_of_good_three|Название|Denumire
frontend.views.vendor.add_goods_two|Добавить товары|Adaugă bunuri
frontend.views.request.of|из|din
frontend.views.request.created|Создана|Creată
frontend.views.request.rouble_two|руб.|rub.
frontend.views.vendor.var7|Скидка %|Reducere %
common.models.done|Завершен|Terminat
frontend.views.client.anal.employee|Сотрудник|Angajat
frontend.views.order.final_date|Дата завершения|Data de încheiere
frontend.views.client.suppliers.phone|Телефон|Telefon
frontend.views.order.cancel_seven|Отменить|Anulează
frontend.views.client.suppliers.add_goods|Добавить товары|Adaugă bunuri
frontend.views.order.hint|Добавьте поставщика, чтобы сделать ваш первый заказ!|Adaugă furnizor, pentru a face prima comandă!
frontend.views.request.product_two|Продукт|Produs
frontend.views.request.created_two|Создана|Creat
frontend.views.client.settings.address|Адрес|Adresa
frontend.views.client.settings.phone|Телефон|Telefon
frontend.views.client.anal.ready|Завершен|Terminat
common.models.additional_email.working|В работе|În proces
frontend.views.settings.cancel|Отменить|Anulează
frontend.views.layouts.main.phone_three|Телефон|Telefon
frontend.views.layout.main.blog|Блог|Blog
frontend.views.site.no_payment|Нет. Все финансовые взаимоотношения происходят за пределами MixCart. Между поставщиков и рестораном.|Nu. Toate relațiile financiare au loc înafara MixCart. Între furnizor și restaurant.
frontend.views.site.address_two|Адрес|Adresa
frontend.views.site.phone|Телефон|Telefon
frontend.views.user.default.enter_register|Войти / зарегистрироваться|Intră / Înregistreazăte
frontend.views.user.default.phone|Телефон|Telefon
frontend.views.client.index.var9|Вперед|Înainte
frontend.views.client.index.order|Заказать|Comandă
frontend.views.user.default.buyer_two| Закупщик|Agent de cumpărare
frontend.views.user.default.vendor_two| Поставщик|Furnizor
frontend.views.client.dashboard.address|Адрес|Adresa
frontend.views.vendor.address|Адрес|Adresa
common.mail.layouts.two_click|Закупка в 2 клика.|Cumpară în 2 click-uri.
frontend.views.layouts.header.businesses|БИЗНЕСЫ|Bussiness-uri
