Переменная|Англ.|Русс.|Укр.
frontend.views.settings.receive_employee_sms|Receive SMS, if the request for cooperation is directed to the mail not to me, but to my employee|	Получать SMS, если запрос на сотрудничество направлен на почту не мне, а моему работнику|Отримувати SMS, якщо запит на співпрацю спрямований на пошту не мені, а моєму працівнику
api.modules.v1.modules.mobile.components.notifications.date|Appointment date|"
Дата назначения: "|Дата призначення:
frontend.views.user.default.buyer_two|Purchaser| Закупщик|Закупник
frontend.views.user.default.vendor_two|Supplier| Поставщик|Посточальник
frontend.controllers.order.value|equal to:| в размере: |у розмірі:
common.mail.order_change.change|made changes in the order No.| внес изменения в заказ №| вніс зміни в замовлення №
frontend.views.layouts.left_additional|ext.| доб. |доб.
frontend.controllers.client.and_catalog_two|and catalogue was added! Instruction for authorization was sent to the mail| и каталог добавлен! Инструкция по авторизации была отправлена на почту | і каталог доданий! Інструкція по авторизації була відправлена ​​на пошту
frontend.controllers.order.change_details_two|Changed details of the order No.| изменил детали заказа №|змінив деталі замовлення №
api.modules.v1.modules.mobile.components.notifications.executer_settled|performer was appointed| назначен исполнитель |призначений виконавець
 назначил для Вас каталог в системе|have assigned a catalog for you in the system| назначил для Вас каталог в системе|призначив для Вас каталог в системі
common.mail.order_canceled.cancel|canceled order No.| отменил заказ №|скасував замовлення №
frontend.controllers.order.cancelled_order_two|canceled the order!| отменил заказ!| скасував замовлення!
frontend.controllers.order.cancel_discount|canceled reduction to the order No.| отменил скидку на заказ №| скасував знижку на замовлення №
common.mail.order_processing.confirm_order|Confirmed order No.| подтвердил заказ №| підтвердив замовлення №
frontend.controllers.order.confirm_order_two|confirmed the order!| подтвердил заказ!| підтвердив замовлення!
franchise.controllers.positions|items (new items) , get in contact with us and we will help you| позиций (Новых позиций), обратитесь к нам и мы вам поможем| позицій (Нових позицій), зверніться до нас і ми вам допоможемо
 позиций, обратитесь к нам и мы вам поможем| Please contact us and we will help you.| позиций, обратитесь к нам и мы вам поможем| позицій, зверніться до нас і ми вам допоможемо
