uuid|guid|name|globalID
000000f8-8e27-4cb0-9e34-6d99fd90d7df|cc98ec51-8934-4aa8-8aab-60e7a4d30d6e|Сляб|SB
021bc2d9-f514-4491-b21a-ffe63023236f|1472c588-6342-4b4c-983b-93cf3847f2e6|Бочка (емкостью около 164 л) деревянная шпунтованная|QH
022887ce-8f39-4b81-b26e-785f114c7ac7|b49cf3a7-caa6-4fb8-a010-75cef6a74479|Сундук, морской|SE
0239b3d5-ec19-498f-9379-013e4df8c882|37b0901a-8898-4b3d-91b6-b1fedea95677|Контейнер, гибкий|1F
02684a03-6f18-43d0-b79d-3ce05d562435|5382a208-5b38-492d-a582-0df8ab23d615|Корзина с ручкой, картонная|HC
02f1c682-8f53-47f8-b8dc-72404d986e66|9ddf31ea-9c4b-499b-81a5-417a13510ab7|Барабан стальной|1A
04735711-516d-4331-92c6-b55e5f8e3710|09252cbd-7d8f-444c-9138-10f0caac2621|В вакуумной упаковке|VP
0509b85d-01ca-4a62-bc40-283eff6ead2d|9529a3a1-e022-48b7-bfa5-1127056d9e40|Сосуд, металлический|MR
057ea6ec-aab1-4e2c-be58-f976fd3bbb37|0bc6bfa5-bb67-418b-a3f1-35f1c940d323|Контейнер средней грузоподъемности для массовых грузов из естественной древесины|ZW
05e4976b-9504-44ac-8645-06bf6a24ad59|2e8abf12-6444-4d4d-b85a-92f6d546fb9f|Комбинированная упаковка: пластмассовый сосуд в деревянной коробке|YF
06eb9e3a-d6a8-49c3-809a-b4150b90e210|65e16bdb-3062-4225-af13-81543dc6b18a|Трубка или туба|TU
07aa7b0e-2a80-45ba-b3bd-6060eef8376b|e2a1188e-4202-4c65-af89-ba870956b34c|Связка|TS
07c59e7c-4a8c-4035-8048-2847491c88ea|8e140d3a-f304-4d4c-b92f-1e9feb70f15e|Цилиндр|CY
07f35ce7-6d5a-49e7-a7e2-659b6cf74def|70157b1b-c036-42d9-b173-5ad267ad9c01|Бревно|LG
086a3064-ab16-4d38-a7fa-3a28ee66b58b|3be96376-0920-4eb7-aafa-7632b323153c|Брус (брусок) в пакете/пачке/связке|BZ
09f4ec10-6101-4c3d-b57a-251aa11e7752|d1283209-c059-4f57-a4b2-573bcaa8e590|Клеть (многооборотная) Общего фонда транспортировочного оборудования EC|DG
0bf57833-4b9d-4d99-96a3-53c7263e01e6|09e0f972-1692-407c-82c0-4abc524321e5|Шина|TE
0c009153-57e0-4dfa-8e5f-ece82ae4dfef|8b0d41b8-c7e8-43b2-b170-3f04b3a19187|Трубка или туба с насадкой|TV
0cc66f67-3111-4e77-9dcc-c9a9df725bed|24383fcc-5151-4c54-9342-2dc6194a1a3f|Банка (емкостью менее 5 л) жестяная прямоугольная|CA
0d51ebba-b636-4a01-9a3a-e1f10fcc73df|33b7ab01-444e-401e-bcbf-db337b6ec78b|Контейнер средней грузоподъемности для массовых грузов текстильный с покрытием и вкладышем|WX
0e0ccdf4-8779-4d65-84e2-d9e689314630|cdccf228-a3d8-43cf-a253-7a0a2196539e|Бревно в пакете/пачке/связке|LZ
0e254eeb-d882-425d-85cf-ae68b8e50980|32dfdafc-ea6b-4793-8b70-a8858e69ab50|Нет сведений|NA
0ed01082-9c8e-49fa-8ba4-a91879d4b192|2c56f044-9d6a-496c-b12f-fef8062e5ecc|Брус (брусок)|BR
0ef53349-5258-4efc-ac2a-23d1e33f387b|808742a1-03e3-463f-9dac-e7da65910f19|Барабан, деревянный|1W
0f402761-1d53-45dc-9566-d709cd1ccb4d|4f1a8ccd-5e9e-4c75-82e0-e7f5202d0bec|Кардная лента|CM
0f4cc0b5-af48-4571-a06b-96504ec89012|22eb54ac-885b-4c6a-a2cb-aedd8150de47|Бадья|BJ
0fdf7f98-6595-480b-8988-5544d8ff40b3|8393e5be-0e6f-4a36-a70d-408a6a9e32a9|Баллон, защищенный|BP
1061b465-9f46-48ba-8939-e4e14afd6270|321041ef-8368-4840-a1a4-d980c291341a|Контейнер средней грузоподъемности для массовых грузов гибкий|ZU
111583f5-39e6-4b45-a941-b67d41ef4cae|d3991856-2828-45a7-9a20-a11f645759d7|Контейнер средней грузоподъемности для массовых грузов текстильный с покрытием|WV
12829e8e-7983-4745-8d01-5425d0244df6|b7fe7ffe-c6e3-4a5b-8b15-fbd0e8e50cba|Канистра, пластмассовая|3H
13f13e66-adf4-431a-9cff-22cfd839047b|38be3857-eb77-4e45-aac3-bde2864b4aca|Барабан|DR
165fd412-0bfa-4bb5-8993-bcfaa5d82e1b|f5e7511e-6448-4ff6-8430-779f4c4b3eb4|Ведро|PL
17f78e53-8978-4b58-9be5-d919c049a239|4aadf738-c12f-4845-94ec-1f6f38df8a89|Гроб|CJ
1852b14d-39a0-4712-9e55-90a7005d5469|424c3b70-22f8-4dcd-913a-c19b49ce765f|Барабан стальной со съемным днищем|QB
18a67ab0-21a3-4e8c-9058-d8f42820938d|8a867654-c0cf-473f-b889-e1c56ecff4da|Банка (емкостью менее 5 л) жестяная с ручкой и выпускным отверстием|CD
1943c156-b96c-4b64-8935-dfd11e95d495|48e06d36-ea2c-4da3-92cc-9ea16de7ba0a|Сетка трубчатая текстильная|NV
198ddc36-88da-4659-a5a6-d9acb8416d9d|c20292a4-9045-4465-87e4-8a38f4d7e6ad|Мешок, джутовый|JT
